제품명,주성분,이 약의 효능은 무엇입니까?,이 약은 어떻게 사용합니까?,이 약은 어떻게 보관해야 합니까?
메가원플러스정,시아노코발라민1000배산|리보플라빈|폴산|제피아스코르브산|산화아연|피리독신염산염|니코틴산아미드|판토텐산칼슘|벤포티아민|d비오틴|콜린타르타르산염|이노시톨|우르소데옥시콜산|토코페롤아세테이트2배산|감마오리자놀|콜레칼시페롤농축분말|산화마그네슘|셀레늄함유건조효모|유비데카레논,이 약은 육체피로|임신·수유기|병중·병후|발육기|노년기의비타민D|E|B1|B2|B6|C의보급또는신경통|근육통|관절통(요통|어깨결림등)|구각염(입꼬리염)|구순염(입술염)|구내염(입안염)|설염(혀염)|습진|피부염증상의완화|뼈·이의발육불량|구루병의예방|각기|눈의피로|아연의보급에사용합니다.,만12세이상및성인은1회1정씩|1일1회식후복용합니다.,습기와빛을 피해 실온에서 보관하십시오
메가케토겔(피록시캄),피록시캄,이 약은 퇴행성관절염(골관절염)|어깨관절주위염|건ㆍ건초염|건주위염|상완골상과염(테니스엘보우등)|근육통(근염|근막염등)|외상후의종창ㆍ동통의진통ㆍ소염에사용합니다.,성인1일3~4회|1회약3cm(1g)를환부에얇게바르고잘스며들도록가볍게문지릅니다.,상온에서 보관하십시오
메가콘600정,콘드로이틴설페이트나트륨|푸르설티아민|니코틴산아미드|이노시톨|콜린타르타르산염|판토텐산칼슘|시아노코발라민1000배산|피리독신염산염|리보플라빈|감마오리자놀|콜레칼시페롤과립,이 약은 육체피로|임신ㆍ수유기|병중ㆍ병후의체력저하시|발육기|노년기의비타민D|B1|B2|B6의보급과신경통|근육통|관절통(요통|어깨결림등)증상의완화|각기|눈의피로에사용합니다.,만8세이상어린이및성인은1회1정씩|1일1회식후에복용합니다.,습기와빛을 피해 실온에서 보관하십시오
메가콘로엠정,콘드로이틴설페이트나트륨|티아민질산염|콜레칼시페롤과립,이 약은 육체피로|임신·수유기|병중·병후(병을앓는동안이나회복후)의체력저하시|발육기|노년기의비타민D|B1의보급및뼈|이의발육불량|구루병의예방|각기·눈의피로|신경통|근육통|관절통(요통(허리)|어깨결림등)완화에사용합니다.,만19세이상의성인은1회1정씩|1일1회복용합니다.,빛을 피해 실온에서 보관하십시오
메가콘사민에프연질캡슐,콘드로이틴설페이트나트륨|푸르설티아민|리보플라빈부티레이트|니코틴산아미드|판토텐산칼슘|피리독신염산염|시아노코발라민|토코페롤아세테이트|γ오리자놀,이 약은 육체피로|임신ㆍ수유기|병중ㆍ병후(병을앓는동안이나회복후)의체력저하시|노년기의비타민E|B1|B2|B6의보급과말초혈행장애및갱년기시어깨ㆍ목결림|수족저림ㆍ수족냉증(손발이차가움)|신경통|근육통|관절통(요(허리)통|어깨결림등)증상의완화|구각염(입꼬리염)|구순염(입술염)|구내염(입안염)|설염(혀염)|습진|피부염증상의완화|각기|눈의피로에사용합니다.,성인및8세이상의어린이는1회1캡슐씩|1일2회복용합니다.,습기와빛을 피해 실온에서 보관하십시오
메가콘티800정,콘드로이틴설페이트나트륨|벤포티아민|니코틴산아미드|피리독신염산염|판토텐산칼슘|리보플라빈|콜레칼시페롤농축분말|메코발라민|산화마그네슘|시트르산칼슘수화물,이 약은 육체피로|임신·수유기|병중·병후(병을앓는동안이나회복후)의체력저하시|발육기|노년기의비타민B1|B2|B6|D의보급에사용합니다.이 약은  함유된비타민등을통해신경통|근육통|관절통(요통(허리)|어깨결림등)|구각염(입꼬리염)|구순염(입술염)|구내염(입안염)|설염(혀염)|습진|피부염증상의완화에사용합니다.이 약은  함유된비타민등을통해뼈|이의발육불량|구루병의예방|각기|눈의피로에사용합니다.,만19세이상성인은1회1정씩|1일1회복용합니다.,습기와빛을 피해 실온에서 보관하십시오
메가클린연질캡슐,클로르페니라민말레산염|dl메틸에페드린염산염|구아이페네신|덱스트로메토르판브롬화수소산염수화물,이 약은 기침|가래에사용합니다.,만15세이상은1회2캡슐씩|1일3회복용합니다.,습기와빛을 피해 실온에서 보관하십시오
메가토스씨정,토코페롤아세테이트2배산|아스코르브산|폴산|티아민질산염|리보플라빈|니코틴산아미드|피리독신염산염|시아노코발라민|판토텐산칼슘|황산아연수화물,이 약은 육체피로|임신‧수유기|병중‧병후(병을앓는동안이나회복후)의체력저하시|노년기의비타민E|B1|B2|B6|C의보급과|구각염(입꼬리염)|구순염(입술염)|구내염(입안염)|설염(혀염)|습진|피부염증상의완화와아연의보급에사용합니다.,만12세이상및성인은1회1정|1일1회복용합니다.,습기와빛을 피해 실온에서 보관하십시오
메가트루골드정,β카로틴20%과립|농축콜레칼시페롤산|토코페롤아세테이트2배산|벤포티아민|리보플라빈|피리독신염산염|시아노코발라민100배산|아스코르브산과립97%|판토텐산칼슘|니코틴산아미드|d비오틴1%|폴산|인산수소칼슘수화물|산화마그네슘|황산망간수화물|몰리브덴함유건조효모|셀레늄함유건조효모|산화아연|이노시톨|콜린타르타르산염|우르소데옥시콜산|콘드로이틴설페이트나트륨,이 약은 육체피로|임신ㆍ수유기|병중ㆍ병후(병을앓는동안이나회복후)의체력저하시|발육기|노년기의비타민A|D|E|B1|B2|B6|C의보급과눈의건조감의완화|야맹증(밤에잘못보는증상)|뼈|이의발육불량|구루병의예방|신경통|근육통|관절통(허리통|어깨결림등)의완화|각기|눈의피로|구각염(입꼬리염)|구순염(입술염)|구내염(입안염)|설염(혀염)|습진|피부염의완화와아연의보급에사용합니다.,만12세이상및성인은1회1정씩|1일1~2회복용합니다.,습기와빛을 피해 실온에서 보관하십시오
메가트루맥스정,벤포티아민|비스벤티아민|리보플라빈|니코틴산아미드|판토텐산칼슘|피리독살포스페이트수화물|피리독신염산염97%과립|폴산|시아노코발라민100배산|농축콜레칼시페롤산|d비오틴1%|산화마그네슘|셀레늄함유건조효모|산화아연|이노시톨|우르소데옥시콜산,이 약은 육체피로|임신·수유기|병중·병후(병을앓는동안이나회복후)의체력저하시|발육기|노년기의비타민D|B1|B2|B6의보급|뼈|이의발육불량|구루병의예방|각기·눈의피로|신경통|근육통|관절통(요통|어깨결림등)의완화|구각염(입꼬리염)|구순염(입술염)|구내염(입안염)|설염(혀염)|습진|피부염의완화|아연의보급에사용합니다.,만12세이상및성인은1회1정씩|1일1회복용합니다.,습기와빛을 피해 실온에서 보관하십시오
메가트루액티브정,벤포티아민|리보플라빈부티레이트|니코틴산아미드|피리독살포스페이트수화물|판토텐산칼슘|시아노코발라민100배산|아스코르브산과립97%|농축콜레칼시페롤산|d비오틴1%|이노시톨|우르소데옥시콜산|셀레늄함유건조효모|산화아연,이 약은 육체피로|임신ㆍ수유기|병중ㆍ병후(병을앓는동안이나회복후)의체력저하시|발육기|노년기의비타민D|B1|B2|B6|C의보급과각기|눈의피로|뼈|이의발육불량|구루병의예방|신경통|근육통|관절통(요(허리)통|어깨결림등)|구각염(입꼬리염)|구순염(입술염)|구내염(입안염)|설염(혀염)|습진|피부염증상의완화에사용합니다.,만12세이상및성인은1회1정씩|1일1~2회복용합니다.,습기와빛을 피해 실온에서 보관하십시오
메가트루육삼삼정,벤포티아민|비스벤티아민|리보플라빈부티레이트|니코틴산아미드|판토텐산칼슘|피리독살포스페이트수화물|피리독신염산염97%과립|폴산|코바마미드|메코발라민|시아노코발라민100배산|농축콜레칼시페롤산|d비오틴1%|산화마그네슘|아스파르트산마그네슘수화물|글리세로인산마그네슘|셀레늄함유건조효모|산화아연|이노시톨|콜린타르타르산염|우르소데옥시콜산|유비데카레논10%,이 약은 육체피로|임신·수유기|병중·병후(병을앓는동안이나회복후)의체력저하시|발육기|노년기의비타민B1|B2|B6|D의보급과신경통|근육통|관절통(요통|어깨결림등)|각기|눈의피로|구각염(입꼬리염)|구순염(입술염)|구내염(입안염)|설염(혀염)|습진|피부염|뼈|이의발육불량|구루병의예방|아연의보급에사용합니다.,만12세이상및성인은1회1정씩|1일1~2회복용합니다.,습기와빛을 피해 실온에서 보관하십시오
메가트루파워정,벤포티아민|리보플라빈|니코틴산아미드|판토텐산칼슘|피리독신염산염|시아노코발라민100배산|아스코르브산과립97%|농축콜레칼시페롤산|피토나디온5%건조분말|d비오틴1%|폴산|이노시톨|콜린타르타르산염|셀레늄함유건조효모|우르소데옥시콜산|산화아연|산화마그네슘,이 약은 육체피로|임신ㆍ수유기|병중ㆍ병후(병을앓는동안이나회복후)의체력저하시|발육기|노년기의비타민D|B1|B2|B6|C의보급과뼈|이의발육불량|구루병의예방|신경통|근육통|관절통((요)통|어깨결림등)증상의완화|각기|눈의피로|구각염(입꼬리염)|구순염(입술염)|구내염(입안염)|설염(혀염)|습진|피부염의완화와아연의보급에사용합니다.,만8세이상및성인은1회1정씩|1일1회복용합니다.,습기와빛을 피해 실온에서 보관하십시오
메가트루포커스정,β카로틴20%과립|벤포티아민|피리독신염산염|시아노코발라민100배산|아스코르브산과립97%|농축콜레칼시페롤산|리보플라빈|d비오틴1%|인산수소칼슘수화물|침강탄산칼슘|로얄젤리|산화마그네슘|산화아연|콜린타르타르산염,이 약은 육체피로|임신ㆍ수유기|병중ㆍ병후(병을앓는동안이나회복후)의체력저하시|발육기|노년기의비타민 A|D|B1|B2|B6|C의보급과눈의건조감의완화|야맹증(밤에잘못보는증상)|뼈|이의발육불량|구루병의예방|신경통|근육통|관절통(요(허리)통|어깨결림등)증상의완화|각기|눈의피로|구각염(입꼬리염)|구순염(입술염)|구내염(입안염)|설염(혀염)|습진|피부염증상의완화와아연의보급에사용합니다.,만12세이상및성인은 1회1정씩|1일1~2회복용합니다.,습기와빛을 피해 실온에서 보관하십시오
메가파워정,레티놀아세테이트과립|에르고칼시페롤과립|토코페롤아세테이트2배산|아스코르브산과립97%|티아민질산염3배산|리보플라빈|피리독신염산염|니코틴산아미드|판토텐산칼슘|시아노코발라민100배산|푸마르산철|산화마그네슘|황산아연수화물|황산망간수화물|인산수소칼슘수화물|염화칼륨|셀레늄함유건조효모|몰리브덴함유건조효모,이 약은 육체피로|임신ㆍ수유기|병중ㆍ병후(병을앓는동안이나회복후)의체력저하시|발육기|노년기의비타민A|D|E|B1|B2|B6|C의보급과눈의건조감의완화|야맹증(밤에잘못보는증상)|뼈|이의발육불량|구루병의예방과철결핍성빈혈의예방및치료와아연의보급에사용합니다.,만12세이상및성인은1회1정씩|1일1회복용합니다.,습기와빛을 피해 실온에서 보관하십시오
메노바크림(아시클로버),아시클로버,이 약은 단순포진(물집)바이러스감염증(초기및재발성생식기포진(물집)과구순포진(물집)포함)에사용합니다.,약4시간간격으로1일5회환부(질환부위)에바릅니다.치료는5일간계속하여야하며|5일간사용후에도치료되지않을경우에는5일간더사용할수있습니다.,상온에서 보관하십시오
메디녹실액5%(미녹시딜),미녹시딜,이 약은 남성형탈모증(안드로젠탈모증)의치료에사용합니다.,모발과두피를완전히건조시킨후|이약0.5~1mL를1일2회(아침|저녁)|최소4개월동안환부에만바르고|하루총투여량이2mL를초과하지마십시오.,빛을 피해 실온에서 보관하십시오화기근처에두지마십시오.
